date,y_true,q10,q50,q90,evaluation_fold,lower,upper,alpha_t,method
2024-02-11,14.74,14.16565770853272,14.480878769880789,14.924467438636025,5.0,13.890222852803458,15.199902294365288,0.20400000000000024,Two-sided ACI
2024-02-12,15.49,14.844135796481579,15.369067327418781,16.58132739442433,5.0,14.609227324881013,16.816235866024897,0.20800000000000024,Two-sided ACI
2024-02-13,14.92,14.647883555593097,14.93028488039112,15.545907096348554,5.0,14.439009722970278,15.754780928971373,0.21200000000000024,Two-sided ACI
2024-02-14,15.01,14.575683663274084,15.046207290765789,15.655508253738304,5.0,14.375674465110876,15.855517451901513,0.21600000000000025,Two-sided ACI
2024-02-15,15.33,14.035886138319901,14.696339338303028,15.218210597354847,5.0,13.844346077126877,15.409750658547871,0.22000000000000025,Two-sided ACI
2024-02-16,14.53,14.558611094726103,15.052641989625581,15.572691208799657,5.0,14.375096604646501,15.75620569887926,0.22400000000000025,Two-sided ACI
2024-02-17,14.58,14.190435113363517,14.554134790979779,15.060580869400923,5.0,14.006920623283914,15.244095359480525,0.22800000000000026,Two-sided ACI
2024-02-18,14.41,13.031619667519852,14.288767590223532,14.953731726441987,5.0,12.897528001508164,15.087823392453675,0.23200000000000026,Two-sided ACI
2024-02-19,14.91,13.28762054553892,14.949849377203716,16.37065442584423,5.0,13.15796098835442,16.50031398302873,0.23600000000000027,Two-sided ACI
2024-02-20,15.53,13.624207772623064,14.721655240870946,15.272399495248957,5.0,13.494548215438565,15.402059052433456,0.24000000000000027,Two-sided ACI
2024-02-21,15.06,15.0316406465914,15.221100982933068,15.852271254724105,5.0,14.840100585398377,16.04381131591713,0.22400000000000025,Two-sided ACI
2024-02-22,15.14,14.029180202909153,14.958048421187215,15.236314474647902,5.0,13.84566571282955,15.419828964727504,0.22800000000000026,Two-sided ACI
2024-02-23,15.0,14.21080525789236,14.396762887600023,14.957392506743656,5.0,14.08114570070786,15.087052063928155,0.23200000000000026,Two-sided ACI
2024-02-24,14.76,14.453321916212918,14.955205576534818,15.542671099392416,5.0,14.341532513567765,15.65446050203757,0.23600000000000027,Two-sided ACI
2024-02-25,15.33,14.465208268375871,14.734909596323098,15.350445658946441,5.0,14.353418865730719,15.462235061591594,0.24000000000000027,Two-sided ACI
2024-02-26,15.04,14.993506659720678,15.550587107786281,16.543125320366173,5.0,14.898077975392647,16.638554004694203,0.24400000000000027,Two-sided ACI
2024-02-27,14.89,14.611840135196404,14.928772611489334,15.414703529311176,5.0,14.530315669578869,15.496227994928711,0.24800000000000028,Two-sided ACI
2024-02-28,14.52,14.691435887829341,14.739778891243038,14.96092942719536,5.0,14.648828394572996,15.003536920451705,0.2520000000000003,Two-sided ACI
2024-02-29,14.65,14.213932835580401,14.820245606401585,15.487623908602728,5.0,14.102143432935248,15.599413311247881,0.23600000000000027,Two-sided ACI
2024-03-01,14.51,13.624462425375642,14.199416573571833,15.208947000112639,5.0,13.512673022730489,15.320736402757792,0.24000000000000027,Two-sided ACI
2024-03-02,14.63,13.051913152038551,13.90311435359759,14.662638073624132,5.0,12.95648446771052,14.758066757952163,0.24400000000000027,Two-sided ACI
2024-03-03,15.02,13.963049482462397,14.462616931747888,15.17735704329873,5.0,13.881525016844861,15.258881508916266,0.24800000000000028,Two-sided ACI
2024-03-04,14.46,14.176443838312712,14.847403632013153,15.735077760336864,5.0,14.133836345056368,15.777685253593209,0.2520000000000003,Two-sided ACI
2024-03-05,14.43,13.999183116134034,14.63277965933055,15.5024764812277,5.0,13.967778953733925,15.533880643627809,0.2560000000000003,Two-sided ACI
2024-03-06,14.9,13.736970630103327,14.183497928675692,15.073983711164889,5.0,13.708359535377223,15.102594805890993,0.2600000000000003,Two-sided ACI
2024-03-07,14.66,13.312958014050587,14.182057058752404,15.023524294666394,5.0,13.291947326005047,15.044534982711934,0.2640000000000003,Two-sided ACI
2024-03-08,14.34,13.340721866868279,13.971955283453925,14.678385809087882,5.0,13.31971117882274,14.69939649713342,0.2680000000000003,Two-sided ACI
2024-03-09,13.65,13.174435513428932,13.746525755582983,14.460648186010982,5.0,13.161075194476563,14.47400850496335,0.2720000000000003,Two-sided ACI
