date,y_true,q10,q50,q90,evaluation_fold,lower,upper,method
2023-10-29,13.82,12.84470397461121,13.025963018373588,13.36658110917792,4.0,12.529692462953538,13.681592620835593,Two-sided PID
2023-10-30,13.67,13.957712691151752,14.264640431103311,15.472466803453855,4.0,13.580477130621336,15.849702363984271,Two-sided PID
2023-10-31,13.76,13.474707222284604,13.82396957357431,14.488862221800371,4.0,13.104030389961828,14.859539054123147,Two-sided PID
2023-11-01,13.8,13.574947081859666,14.089103904457975,14.936991042014611,4.0,13.217984760970982,15.293953362903295,Two-sided PID
2023-11-02,13.73,12.84916840692079,13.510802565874378,14.065946761068021,4.0,12.513076964858673,14.402038203130138,Two-sided PID
2023-11-03,13.49,13.304551908513389,14.0342751616395,14.901685682803343,4.0,12.982101314042115,15.224136277274617,Two-sided PID
2023-11-04,13.49,12.561293217311455,13.303029372074082,13.876234353433318,4.0,12.252447495857576,14.185080074887198,Two-sided PID
2023-11-05,14.35,13.345960612523825,13.938680695313487,14.449144780867037,4.0,13.050684351262419,14.744421042128444,Two-sided PID
2023-11-06,13.8,13.9296595571845,14.85011963403905,16.073719837248845,4.0,13.647917897854477,16.35546149657887,Two-sided PID
2023-11-07,13.99,13.293830568644847,14.076000668941074,14.586188732901498,4.0,13.033372052206841,14.846647249339503,Two-sided PID
2023-11-08,14.11,13.435261198988545,13.86440403763688,14.835652412115431,4.0,13.188269203602594,15.082644407501382,Two-sided PID
2023-11-09,13.76,11.30098543732465,12.912325244784105,13.267430112214944,4.0,11.067426726684275,13.50098882285532,Two-sided PID
2023-11-10,13.28,12.304583522534376,13.681903548059596,14.715877040252344,4.0,12.009475894199868,15.010984668586852,Two-sided PID
2023-11-11,13.02,11.738930962993294,13.060907918488969,13.754088520030736,4.0,11.457273390162303,14.035746092861727,Two-sided PID
2023-11-12,13.7,12.695379683062441,13.1246960026033,14.059715075551747,4.0,12.427138314920475,14.327956443693713,Two-sided PID
2023-11-13,14.39,13.344985870133723,13.913049170111453,15.297647451482764,4.0,13.090127386167369,15.552505935449117,Two-sided PID
2023-11-14,13.73,13.564122224539894,13.868518309919972,14.647687722182198,4.0,13.322613827933687,14.889196118788405,Two-sided PID
2023-11-15,13.69,13.344027993937077,14.11387678445713,15.262865234361799,4.0,13.115837405095998,15.491055823202878,Two-sided PID
2023-11-16,13.93,12.6618839938566,13.43837830152754,14.202785551492662,4.0,12.44697944405154,14.417690101297723,Two-sided PID
2023-11-17,13.44,12.634591838777535,13.105843105082545,14.117716467067511,4.0,12.432942063911069,14.319366241933977,Two-sided PID
2023-11-18,12.94,12.73843018600314,13.297228345270305,13.992859059799443,4.0,12.550004420493076,14.181284825309506,Two-sided PID
2023-11-19,13.37,12.752895375348668,13.253598819339551,14.178027668647792,4.0,12.577663346126862,14.353259697869598,Two-sided PID
2023-11-20,13.6,13.339122193626581,13.9551456982447,15.392740533555283,4.0,13.177054114250593,15.554808612931271,Two-sided PID
2023-11-21,13.1,13.108748577313541,13.386492002852565,13.981439222414208,4.0,12.959815142188772,14.130372657538977,Two-sided PID
2023-11-22,12.48,12.12864572221597,13.201815428166656,14.047485618531928,4.0,11.992818100925955,14.183313239821942,Two-sided PID
2023-11-23,10.63,10.395830896782114,12.355969320872912,14.02160216253508,4.0,10.273080728524736,14.144352330792458,Two-sided PID
2023-11-24,11.0,10.235872423799771,11.645281910807594,12.855020172200183,4.0,10.126171811927186,12.964720784072767,Two-sided PID
2023-11-25,11.95,10.991482245619833,10.920941327651445,11.491189655065332,4.0,10.894803752279984,11.587868148405182,Two-sided PID
2023-11-26,14.16,12.465826240037408,12.50183715057845,13.254082650809613,4.0,12.308971263755012,13.410937627092009,Two-sided PID
2023-11-27,14.43,13.990243805448216,14.81208715266451,16.324617897001655,4.0,13.772619392884923,16.542242309564948,Two-sided PID
2023-11-28,14.5,13.719711707896439,14.493399038884554,15.220632468786384,4.0,13.515151406799385,15.425192769883438,Two-sided PID
2023-11-29,14.71,13.72648460199821,14.1958623781479,15.560740393751512,4.0,13.534958899156868,15.752266096592855,Two-sided PID
2023-11-30,14.16,12.852351031127943,14.014262250931703,15.115869242842745,4.0,12.6738308823115,15.29438939165919,Two-sided PID
2023-12-01,13.68,13.427190540980286,13.791854957216628,14.620709216325853,4.0,13.261647365441569,14.78625239186457,Two-sided PID
2023-12-02,13.42,13.158536861840936,13.29831084095125,13.651932879724901,4.0,13.013912161523914,13.796557580041924,Two-sided PID
2023-12-03,13.83,13.519045254169722,14.14185271801108,14.418863205460227,4.0,13.387341734608805,14.550566725021143,Two-sided PID
2023-12-04,14.53,13.987433802181744,14.816967602756094,15.625399096040878,4.0,13.868624241110233,15.74420865711239,Two-sided PID
2023-12-05,13.87,14.078873832622818,14.462740897615792,14.774651325687813,4.0,13.972931450269131,14.8805937080415,Two-sided PID
2023-12-06,14.31,13.934866588875309,14.401280156785454,15.000297492835646,4.0,13.776583753458619,15.158580328252336,Two-sided PID
2023-12-07,14.07,13.33327923304763,13.890954571046192,14.243353972849578,4.0,13.187868271027558,14.38876493486965,Two-sided PID
2023-12-08,13.53,13.501192561741206,13.933351079935743,14.510948583137683,4.0,13.375819626602693,14.636321518276196,Two-sided PID
2023-12-09,13.72,12.56496046747776,13.194922971980251,13.536485509920398,4.0,12.452405177153574,13.649040800244585,Two-sided PID
2023-12-10,14.71,13.237967296109165,13.83009765041017,14.227510641225425,4.0,13.07335445594165,14.39212348139294,Two-sided PID
2023-12-11,14.13,14.458480449346121,15.038909470304986,16.265148936126906,4.0,14.234786624144796,16.488842761328232,Two-sided PID
2023-12-12,14.17,13.269439247571182,14.023794388678331,14.719713864955278,4.0,12.98603476723998,15.00311834528648,Two-sided PID
2023-12-13,14.88,13.391608679945932,13.753444308406586,14.494957664278735,4.0,13.121107765895957,14.76545857832871,Two-sided PID
2023-12-14,14.35,13.771324588373147,14.444524306093719,14.972701168632057,4.0,13.444945830571964,15.29907992643324,Two-sided PID
2023-12-15,14.48,13.727101590844839,14.352499310856224,14.97577117840496,4.0,13.413642717016911,15.289230052232888,Two-sided PID
2023-12-16,14.16,13.405221527764049,14.078969292715465,14.556376485160575,4.0,13.104651185874387,14.856946827050237,Two-sided PID
2023-12-17,14.15,13.41509823518064,14.307416316011818,15.051743702723654,4.0,13.12738554402889,15.339456393875404,Two-sided PID
2023-12-18,14.63,13.652743549955524,14.699648373140082,16.05514114462189,4.0,13.377858093544686,16.330026601032724,Two-sided PID
2023-12-19,14.29,13.37716984178963,14.395316269522064,15.059547874054577,4.0,13.119389874618227,15.31732784122598,Two-sided PID
2023-12-20,14.15,13.53654798431915,14.649296854993953,15.418868846155044,4.0,13.29950541809391,15.655911412380284,Two-sided PID
2023-12-21,14.11,12.540262506230256,13.94498589285653,14.425503072962885,4.0,12.315958663193046,14.649806916000095,Two-sided PID
2023-12-22,13.37,13.179581477601964,13.804628438844162,14.629934611215692,4.0,12.975181235870147,14.834334852947508,Two-sided PID
2023-12-23,12.06,12.459572312431206,13.20446017801251,13.765711894755686,4.0,12.275636865200312,13.94964734198658,Two-sided PID
2023-12-24,11.8,10.857389494789675,12.399012034657355,13.209092639829853,4.0,10.614622277461168,13.451859857158361,Two-sided PID
2023-12-25,10.85,10.207293891222452,12.16706139984735,13.688257688884201,4.0,9.97721982299057,13.918331757116084,Two-sided PID
2023-12-26,11.95,10.502163280811377,11.830342574568107,12.630851578096053,4.0,10.29253651880839,12.84047834009904,Two-sided PID
2023-12-27,12.47,11.691436169613523,12.147154607125692,13.01033859814358,4.0,11.494445603383703,13.2073291643734,Two-sided PID
2023-12-28,13.62,11.829829474414087,12.620017711807645,13.098676747293332,4.0,11.659540068170855,13.268966153536564,Two-sided PID
2023-12-29,13.3,13.251278135700744,13.604511346452107,14.287889191511344,4.0,13.016145289439317,14.52302203777277,Two-sided PID
2023-12-30,13.01,12.389087092595032,13.147171298218144,13.740852921667644,4.0,12.166573698480505,13.96336631578217,Two-sided PID
2023-12-31,12.48,11.228254609313678,12.998781458276458,13.829615624207689,4.0,11.032425116741337,14.02544511678003,Two-sided PID
2024-01-01,12.5,11.06537665380737,12.798214986914317,14.265157614957765,5.0,10.891314054683221,14.439220214081914,Two-sided PID
2024-01-02,14.03,11.587128851365666,12.584863655191434,13.401584424625367,5.0,11.42785550962474,13.560857766366293,Two-sided PID
2024-01-03,19.22,13.389503142350096,13.708280151923406,14.27644828476442,5.0,13.17752015199666,14.488431275117856,Two-sided PID
2024-01-04,14.19,16.49563496003825,17.364028564399206,17.691939387291324,5.0,16.23332300781378,17.954251339515793,Two-sided PID
2024-01-05,14.09,14.578489882870766,15.996743489049312,17.133585907791236,5.0,14.265954814270131,17.44612097639187,Two-sided PID
2024-01-06,13.55,13.58140416240011,13.672792508538953,14.893528149521334,5.0,13.218730808593158,15.256201503328287,Two-sided PID
2024-01-07,13.61,12.952237017356898,13.665528450039346,14.543636301710453,5.0,12.604507710404738,14.891365608662614,Two-sided PID
2024-01-08,13.85,12.8452182290581,13.544702214213165,15.021108644893733,5.0,12.510147246395753,15.35617962755608,Two-sided PID
2024-01-09,13.89,12.920593305762038,13.697478485873518,14.433777754612741,5.0,12.598148938145073,14.756222122229705,Two-sided PID
2024-01-10,14.15,14.846398024469353,15.50300028322819,16.355463091674984,5.0,14.543679555256038,16.6581815608883,Two-sided PID
2024-01-11,14.58,13.038348471665493,14.278583460145565,14.649490611428025,5.0,12.678648327747512,15.009190755346006,Two-sided PID
2024-01-12,14.7,14.319291768011976,14.778255510482728,15.28880793098243,5.0,13.972208398115221,15.635891300879184,Two-sided PID
2024-01-13,14.58,13.78157976715161,14.526921226180649,15.027137077877416,5.0,13.447081413654539,15.361635431374488,Two-sided PID
2024-01-14,14.41,13.044908051695373,14.370567415596266,14.581761219559237,5.0,12.72296340807457,14.90370586318004,Two-sided PID
2024-01-15,15.43,12.764998333962534,14.714302624772504,15.722864600494049,5.0,12.455576539409432,16.03228639504715,Two-sided PID
2024-01-16,16.24,13.747542570474476,14.985059074783855,15.555897467710514,5.0,13.450613204608059,15.85282683357693,Two-sided PID
2024-01-17,15.75,15.602616925042401,16.992245558341494,17.88759142467125,5.0,15.253918049679056,18.236290300034593,Two-sided PID
2024-01-18,15.77,13.71691638007838,15.651588293353528,16.537939446650533,5.0,13.382983673090859,16.871872153638055,Two-sided PID
2024-01-19,15.29,14.40946571953408,15.656415839064172,16.671247207855558,5.0,14.088014715338478,16.99269821205116,Two-sided PID
2024-01-20,14.79,13.564394925881444,15.239314524489906,15.924074190310812,5.0,13.255395150701219,16.233073965491037,Two-sided PID
2024-01-21,15.64,13.404359406635539,15.079037182185804,15.906264355276896,5.0,13.114911358140274,16.19571240377216,Two-sided PID
2024-01-22,16.06,14.254750360126911,16.013330160477825,17.215081807168943,5.0,13.977693885989748,17.492138281306104,Two-sided PID
2024-01-23,18.81,14.082652595096496,15.677261890307808,16.470195156321026,5.0,13.817958504387738,16.734889247029784,Two-sided PID
2024-01-24,16.23,16.43000919816321,17.484595266903618,18.10985294948109,5.0,16.109045862134206,18.430816285510094,Two-sided PID
2024-01-25,11.88,14.542589984253125,16.63830298445456,17.56660473411931,5.0,14.234007130951337,17.875187587421095,Two-sided PID
2024-01-26,15.18,11.946201147781128,13.354427677703232,15.045908333988312,5.0,11.586354257833152,15.405755223936287,Two-sided PID
2024-01-27,14.99,12.44225706073563,13.563192646332272,14.331493531072933,5.0,12.094811202583486,14.678939389225077,Two-sided PID
2024-01-28,15.3,13.557330614345474,15.158128622610008,15.85212479038606,5.0,13.151787418747109,16.257667985984426,Two-sided PID
2024-01-29,15.52,14.261399026203112,15.621064494458237,17.200777310749906,5.0,13.868279842779941,17.593896494173077,Two-sided PID
2024-01-30,15.37,14.878294582044171,16.151254162956928,17.074478321093043,5.0,14.50677162720906,17.446001275928154,Two-sided PID
2024-01-31,15.26,14.967772286955528,15.867087796945818,16.748753601759176,5.0,14.608610815070938,17.107915073643767,Two-sided PID
2024-02-01,15.0,13.362841037570652,14.020967044571671,15.04595229033422,5.0,13.018263985844285,15.390529342060587,Two-sided PID
2024-02-02,14.87,14.656782786249977,15.000990747084948,15.718455218302317,5.0,14.324506409009935,16.05073159554236,Two-sided PID
2024-02-03,14.29,14.159903130937012,14.600998247725062,14.976710305317392,5.0,13.839897656632806,15.296715779621598,Two-sided PID
2024-02-04,14.89,9.608307559327939,12.039053412222815,12.565343849547784,5.0,9.30054363165085,12.873107777224872,Two-sided PID
2024-02-05,14.6,14.613612588903447,15.754986049255356,16.208237058847352,5.0,14.255128367151361,16.566721280599438,Two-sided PID
2024-02-06,14.55,14.492709641009082,15.039445124727816,15.843118315127377,5.0,14.146486966918648,16.18934098921781,Two-sided PID
2024-02-07,14.55,14.447831160643036,14.634624745287919,15.456334789038571,5.0,14.113840215543835,15.790325734137772,Two-sided PID
2024-02-08,14.58,13.707350621796497,13.887086105005025,14.23347167159056,5.0,13.385561999864361,14.555260293522696,Two-sided PID
2024-02-09,14.4,14.12120720543312,14.454292351661518,15.132619308879619,5.0,13.727872800150212,15.525953714162526,Two-sided PID
2024-02-10,14.62,13.397151295247205,14.206147321048409,15.100756278669591,5.0,13.016039813752847,15.481867760163949,Two-sided PID
2024-02-11,14.74,14.16565770853272,14.480878769880789,14.924467438636025,5.0,13.796739287670688,15.293385859498057,Two-sided PID
2024-02-12,15.49,14.844135796481579,15.369067327418781,16.58132739442433,5.0,14.48738098357482,16.93808220733109,Two-sided PID
2024-02-13,14.92,14.647883555593097,14.93028488039112,15.545907096348554,5.0,14.303263303700033,15.890527348241617,Two-sided PID
2024-02-14,15.01,14.575683663274084,15.046207290765789,15.655508253738304,5.0,14.243169326526843,15.988022590485546,Two-sided PID
2024-02-15,15.33,14.035886138319901,14.696339338303028,15.218210597354847,5.0,13.715449467342864,15.538647268331884,Two-sided PID
2024-02-16,14.53,14.558611094726103,15.052641989625581,15.572691208799657,5.0,14.250224232133212,15.88107807139255,Two-sided PID
2024-02-17,14.58,14.190435113363517,14.554134790979779,15.060580869400923,5.0,13.917367080178332,15.333648902586107,Two-sided PID
2024-02-18,14.41,13.031619667519852,14.288767590223532,14.953731726441987,5.0,12.770546886289134,15.214804507672705,Two-sided PID
2024-02-19,14.91,13.28762054553892,14.949849377203716,16.37065442584423,5.0,13.038516308593753,16.619758662789394,Two-sided PID
2024-02-20,15.53,13.624207772623064,14.721655240870946,15.272399495248957,5.0,13.38704574703061,15.50956152084141,Two-sided PID
2024-02-21,15.06,15.0316406465914,15.221100982933068,15.852271254724105,5.0,14.726372378169438,16.157539523146067,Two-sided PID
2024-02-22,15.14,14.029180202909153,14.958048421187215,15.236314474647902,5.0,13.735868655131517,15.529626022425537,Two-sided PID
2024-02-23,15.0,14.21080525789236,14.396762887600023,14.957392506743656,5.0,13.929423663219348,15.238774101416668,Two-sided PID
2024-02-24,14.76,14.453321916212918,14.955205576534818,15.542671099392416,5.0,14.183843879714715,15.81214913589062,Two-sided PID
2024-02-25,15.33,14.465208268375871,14.734909596323098,15.350445658946441,5.0,14.20760776362483,15.608046163697482,Two-sided PID
2024-02-26,15.04,14.993506659720678,15.550587107786281,16.543125320366173,5.0,14.747758024753017,16.788873955333834,Two-sided PID
