date,y_true,q10,q50,q90,evaluation_fold,lower,upper,alpha_t,method,tmax_f,precipitation_in,prior_day_tmax_f,prior_day_precipitation_in,raw_qr_width,aci_width,aci_one_sided_correction,lower_qr_spread,upper_qr_spread,spread_asymmetry,covered,lower_miss,upper_miss,temperature_group,prior_day_wet,predicted_demand_group,uncertainty_group,season
2024-01-23,18.81,14.082652595096496,15.677261890307808,16.470195156321026,5.0,13.899138105016894,16.65370964640063,0.2280000000000002,Two-sided ACI,51,0.0,53.0,0.0,2.38754256122453,2.7545715413837346,0.1835144900796024,1.5946092952113116,0.7929332660132182,-0.8016760291980933,False,False,True,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-01-24,16.23,16.43000919816321,17.484595266903618,18.10985294948109,5.0,16.1695506817252,18.370311465919094,0.2120000000000002,Two-sided ACI,52,0.0,51.0,0.0,1.6798437513178825,2.2007607841938928,0.2604585164380051,1.0545860687404094,0.6252576825774732,-0.4293283861629362,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-01-25,11.88,14.542589984253125,16.63830298445456,17.56660473411931,5.0,14.30768151265256,17.801513205719875,0.2160000000000002,Two-sided ACI,50,0.0,52.0,0.0,3.0240147498661845,3.4938316930673157,0.2349084716005656,2.0957130002014335,0.928301749664751,-1.1674112505366825,False,True,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-01-26,15.18,11.946201147781128,13.354427677703232,15.045908333988312,5.0,11.658488456629376,15.333621025140063,0.2000000000000002,Two-sided ACI,49,0.0,50.0,0.0,3.0997071862071834,3.675132568510687,0.2877126911517518,1.4082265299221035,1.69148065628508,0.2832541263629764,True,False,False,20–40%,Dry prior day,Lowest 20%,Remaining 90%,Winter
2024-01-27,14.99,12.44225706073563,13.563192646332272,14.331493531072931,5.0,12.166822205006367,14.606928386802196,0.2040000000000002,Two-sided ACI,52,0.0,49.0,0.0,1.889236470337302,2.4401061817958283,0.2754348557292632,1.1209355855966425,0.7683008847406594,-0.35263470085598314,False,False,True,20–40%,Dry prior day,Lowest 20%,Remaining 90%,Winter
2024-01-28,15.3,13.557330614345474,15.158128622610008,15.85212479038606,5.0,13.237995425154,16.171459979577534,0.1880000000000002,Two-sided ACI,62,0.0,52.0,0.0,2.294794176040586,2.9334645544235336,0.31933518919147375,1.6007980082645332,0.6939961677760529,-0.9068018404884803,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-01-29,15.52,14.261399026203112,15.621064494458237,17.200777310749906,5.0,13.96787932170692,17.494297015246097,0.1920000000000002,Two-sided ACI,64,0.0,62.0,0.0,2.9393782845467946,3.5264176935391767,0.293519704496191,1.359665468255125,1.5797128162916696,0.22004734803654458,True,False,False,40–60%,Dry prior day,40–60%,Remaining 90%,Winter
2024-01-30,15.37,14.878294582044171,16.151254162956928,17.074478321093043,5.0,14.59058189089242,17.362191012244793,0.1960000000000002,Two-sided ACI,61,0.0,64.0,0.0,2.1961837390488714,2.7716091213523733,0.2877126911517509,1.2729595809127563,0.9232241581361151,-0.34973542277664116,True,False,False,40–60%,Dry prior day,40–60%,Remaining 90%,Winter
2024-01-31,15.26,14.967772286955528,15.867087796945818,16.748753601759176,5.0,14.692337431226266,17.02418845748844,0.2000000000000002,Two-sided ACI,63,0.0,61.0,0.0,1.7809813148036486,2.331851026262173,0.2754348557292623,0.8993155099902896,0.881665804813359,-0.017649705176930652,True,False,False,40–60%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-01,15.0,13.362841037570652,14.020967044571671,15.04595229033422,5.0,13.094599669428684,15.314193658476189,0.2040000000000002,Two-sided ACI,64,0.0,63.0,0.0,1.6831112527635685,2.219593989047505,0.2682413681419682,0.6581260070010195,1.024985245762549,0.3668592387615295,True,False,False,40–60%,Dry prior day,20–40%,Remaining 90%,Winter
2024-02-02,14.87,14.656782786249977,15.000990747084948,15.718455218302315,5.0,14.39632426981197,15.978913734740324,0.2080000000000002,Two-sided ACI,51,0.0,64.0,0.0,1.0616724320523385,1.582589464928354,0.26045851643800777,0.3442079608349715,0.717464471217367,0.3732565103823955,True,False,False,40–60%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-03,14.29,14.159903130937012,14.600998247725062,14.976710305317392,5.0,13.899444614499004,15.237168821755398,0.2120000000000002,Two-sided ACI,46,1.63,51.0,0.0,0.8168071743803793,1.3377242072563948,0.26045851643800777,0.44109511678805013,0.3757120575923292,-0.06538305919572096,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2024-02-04,14.89,9.60830755932794,12.039053412222817,12.565343849547784,5.0,9.39943372670512,12.774217682170605,0.2160000000000002,Two-sided ACI,42,0.0,46.0,1.63,2.9570362902198433,3.3747839554654853,0.208873832622821,2.4307458528948764,0.5262904373249668,-1.9044554155699096,False,False,True,Coolest 20%,Wet prior day,Lowest 20%,Remaining 90%,Winter
2024-02-05,14.6,14.613612588903448,15.754986049255356,16.208237058847352,5.0,14.338177733174184,16.483671914576615,0.2000000000000002,Two-sided ACI,53,0.0,42.0,0.0,1.5946244699439038,2.14549418140243,0.2754348557292632,1.1413734603519075,0.4532510095919964,-0.6881224507599111,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-06,14.55,14.492709641009082,15.039445124727816,15.843118315127375,5.0,14.232251124571077,16.103576831565384,0.2040000000000002,Two-sided ACI,54,0.0,53.0,0.0,1.3504086741182935,1.8713257069943072,0.2604585164380069,0.5467354837187344,0.8036731903995591,0.2569377066808247,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
