"date","total_actual_demand_mgd","total_projected_demand_mgd","actual_projected_demand","total_plant_demand_mgd"
"2024-12-27T00:00:00.000","11.34","13.66","0.8301610541727672035139092240","12.88"
"2024-12-28T00:00:00.000","11.84","13.54","0.8744460856720827178729689808","12.71"
"2024-12-29T00:00:00.000","12.2","13.56","0.8997050147492625368731563422","15.14"
"2024-12-30T00:00:00.000","11.85","12.81","0.9250585480093676814988290398","15.31"
"2024-12-31T00:00:00.000","11.51","12.81","0.8985167837626854020296643247","12.43"
"2025-01-01T00:00:00.000","11.41","12.38","0.9216478190630048465266558966","12.32"
"2025-01-02T00:00:00.000","12.85","13.56","0.9476401179941002949852507375","14.36"
"2025-01-03T00:00:00.000","13.08","13.97","0.9362920544022906227630637079","14.31"
"2025-01-04T00:00:00.000","12.67","14.06","0.9011379800853485064011379801","14.25"
"2025-01-05T00:00:00.000","13.18","14.28","0.9229691876750700280112044818","14.19"
"2025-01-06T00:00:00.000","13.17","14.06","0.9366998577524893314366998578","15.01"
"2025-01-07T00:00:00.000","12.68","13.92","0.9109195402298850574712643678","13.82"
"2025-01-08T00:00:00.000","13.87","13.95","0.9942652329749103942652329749","15.3"
"2025-01-09T00:00:00.000","13.79","13.99","0.9857040743388134381701215154","15.84"
"2025-01-10T00:00:00.000","13.37","14.17","0.9435426958362738179251940720","15.04"
"2025-01-11T00:00:00.000","13.14","13.88","0.9466858789625360230547550432","14.35"
"2025-01-12T00:00:00.000","13.3","13.69","0.9715120525931336742147552958","15.09"
"2025-01-13T00:00:00.000","13.44","14.08","0.9545454545454545454545454545","15.02"
"2025-01-14T00:00:00.000","13.44","14.13","0.9511677282377919320594479830","14.97"
"2025-01-15T00:00:00.000","13.56","14.06","0.9644381223328591749644381223","14.85"
"2025-01-16T00:00:00.000","13.65","14.19","0.9619450317124735729386892178","14.79"
"2025-01-17T00:00:00.000","13.05","14.17","0.9209597741707833450952717008","14.61"
"2025-01-18T00:00:00.000","13.01","14.3","0.9097902097902097902097902098","14.11"
"2025-01-19T00:00:00.000","13.58","14.2","0.9563380281690140845070422535","15.95"
"2025-01-20T00:00:00.000","14.21","14.28","0.9950980392156862745098039216","15.87"
"2025-01-21T00:00:00.000","15.08","14.22","1.060478199718706047819971871","16.63"
"2025-01-22T00:00:00.000","14.85","14.42","1.029819694868238557558945908","19.11"
"2025-01-23T00:00:00.000","15.06","14.43","1.043659043659043659043659044","18.47"
"2025-01-24T00:00:00.000","13.5","14.3","0.9440559440559440559440559441","17.67"
"2025-01-25T00:00:00.000","14.22","14.55","0.9773195876288659793814432990","14.95"
"2025-01-26T00:00:00.000","15.29","14.53","1.052305574673090158293186511","17.36"
"2025-01-27T00:00:00.000","15.9","14.59","1.089787525702535983550376971","16.95"
"2025-01-28T00:00:00.000","19.91","14.47","1.375950241879751209398756047","21.89"
"2025-01-29T00:00:00.000","17.26","14.68","1.175749318801089918256130790","18.77"
"2025-01-30T00:00:00.000","16.33","14.4","1.134027777777777777777777778","15.62"
"2025-01-31T00:00:00.000","14.5","14.44","1.004155124653739612188365651","15.83"
"2025-02-01T00:00:00.000","14.56","14.38","1.012517385257301808066759388","16"
"2025-02-02T00:00:00.000","14.79","14.16","1.044491525423728813559322034","17.8"
"2025-02-03T00:00:00.000","14.48","14.23","1.017568517217146872803935348","16.18"
"2025-02-04T00:00:00.000","14.51","13.94","1.040889526542324246771879484","15.83"
"2025-02-05T00:00:00.000","14.5","14.24","1.018258426966292134831460674","16.04"
"2025-02-06T00:00:00.000","14.38","14.5","0.9917241379310344827586206897","15.67"
"2025-02-07T00:00:00.000","14.16","14.25","0.9936842105263157894736842105","15.15"
"2025-02-08T00:00:00.000","13.64","14.3","0.9538461538461538461538461538","15.45"
"2025-02-09T00:00:00.000","14.18","14.44","0.9819944598337950138504155125","15.88"
"2025-02-10T00:00:00.000","14.35","14.33","1.001395673412421493370551291","15.52"
"2025-02-11T00:00:00.000","13.98","14.32","0.9762569832402234636871508380","15.19"
"2025-02-12T00:00:00.000","14.03","14.19","0.9887244538407329105003523608","15.41"
"2025-02-13T00:00:00.000","14.35","14.38","0.9979137691237830319888734353","15.56"
"2025-02-14T00:00:00.000","14.04","14.33","0.9797627355198883461270062805","15.67"
"2025-02-15T00:00:00.000","14.4","14.48","0.9944751381215469613259668508","15.19"
"2025-02-16T00:00:00.000","14.08","14.36","0.9805013927576601671309192201","15.9"
"2025-02-17T00:00:00.000","13.75","14.41","0.9541984732824427480916030534","15.37"
"2025-02-18T00:00:00.000","14.21","14.28","0.9950980392156862745098039216","15.11"
"2025-02-19T00:00:00.000","14.6","14.12","1.033994334277620396600566572","16"
"2025-02-20T00:00:00.000","14.74","14.31","1.030048916841369671558350804","15.87"
"2025-02-21T00:00:00.000","14.76","14.3","1.032167832167832167832167832","16.28"
"2025-02-22T00:00:00.000","14.54","14.32","1.015363128491620111731843575","15.86"
"2025-02-23T00:00:00.000","15.16","14.14","1.072135785007072135785007072","16.88"
"2025-02-24T00:00:00.000","15.88","14.11","1.125442948263642806520198441","16.98"
"2025-02-25T00:00:00.000","14.68","14.18","1.035260930888575458392101551","16.3"
"2025-02-26T00:00:00.000","14.7","14.18","1.036671368124118476727785614","14.98"
"2025-02-27T00:00:00.000","14.71","14.15","1.039575971731448763250883392","16.16"
"2025-02-28T00:00:00.000","13.88","14.31","0.9699510831586303284416491964","14.77"
"2025-03-01T00:00:00.000","13.76","14.35","0.9588850174216027874564459930","15.5"
"2025-03-02T00:00:00.000","14.05","14.47","0.9709744298548721492743607464","15.32"
"2025-03-03T00:00:00.000","13.9","14.24","0.9761235955056179775280898876","15.4"
"2025-03-04T00:00:00.000","14.08","14.55","0.9676975945017182130584192440","14.94"
"2025-03-05T00:00:00.000","13.98","14.38","0.9721835883171070931849791377","15.67"
"2025-03-06T00:00:00.000","13.72","14.45","0.9494809688581314878892733564","14.63"
"2025-03-07T00:00:00.000","13.41","14.57","0.9203843514070006863417982155","14.94"
"2025-03-08T00:00:00.000","13.52","14.72","0.9184782608695652173913043478","14.82"
"2025-03-09T00:00:00.000","13.81","14.41","0.9583622484385843164469118668","16.21"
"2025-03-10T00:00:00.000","14.11","14.32","0.9853351955307262569832402235","15.19"
"2025-03-11T00:00:00.000","13.93","13.94","0.9992826398852223816355810617","15.64"
"2025-03-12T00:00:00.000","14.48","14.01","1.033547466095645967166309779","15.73"
"2025-03-13T00:00:00.000","13.53","13.93","0.9712849964106245513280689160","14.92"
"2025-03-14T00:00:00.000","13.67","13.83","0.9884309472161966738973246565","15.28"
"2025-03-15T00:00:00.000","13.29","13.72","0.9686588921282798833819241983","14.19"
"2025-03-16T00:00:00.000","13.17","13.59","0.9690949227373068432671081678","14.84"
"2025-03-17T00:00:00.000","16.09","13.84","1.162572254335260115606936416","17.28"
